qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
1.0,0.0,1.0,0.0,11.0,2.663532754804255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,11.0,2.663532754804255,1.0,11.0,2.663532754804255,1.0,55.0,14.0,2.448815635725185,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,13.0,3.0269868333592873,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,13.0,3.0269868333592873,1.0,13.0,3.0269868333592873,1.0,276.0,13.0,2.873140679513133,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,16.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,16.0,3.5,1.0,16.0,3.5,1.0,299.0,14.0,2.610577243331643,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,21.0,3.6897037321995474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,21.0,3.6897037321995474,1.0,21.0,3.6897037321995474,1.0,299.0,14.0,2.699513850319966,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,13.0,3.180832987205441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,13.0,3.180832987205441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,22.0,3.641249800455479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,22.0,3.641249800455479,1.0,22.0,3.641249800455479,1.0,290.0,14.0,2.699513850319966,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,15.0,3.323231428797621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,15.0,3.323231428797621,1.0,15.0,3.323231428797621,1.0,299.0,14.0,2.699513850319966,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,21.0,3.558518613048906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,21.0,3.558518613048906,1.0,21.0,3.558518613048906,1.0,299.0,13.0,2.7192945256669794,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,13.0,3.238901256602631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,13.0,3.238901256602631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,12.0,3.084962500721156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,12.0,3.084962500721156,1.0,12.0,3.084962500721156,1.0,299.0,14.0,2.610577243331643,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,12.0,3.0220552088742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,2.0,1.0,0.0,12.0,3.0220552088742,1.0,12.0,3.0220552088742,1.0,1132.0,14.0,2.610577243331642,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,22.0,3.1523912776298673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,22.0,3.1523912776298673,1.0,22.0,3.1523912776298673,1.0,2793.0,14.0,3.039148671903071,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,14.0,3.039148671903072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,5.0,1.0,0.0,14.0,3.039148671903072,1.0,14.0,3.039148671903072,1.0,1921.0,13.0,2.66122625626979,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,10.0,2.921928094887362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,10.0,2.921928094887362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,22.0,3.4251185503571397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,22.0,3.4251185503571397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,10.0,2.9219280948873623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,3.0,1.0,0.0,10.0,2.9219280948873623,1.0,10.0,2.9219280948873623,1.0,3021.0,13.0,2.295465679180292,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,13.0,3.085055102756477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,13.0,3.085055102756477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,9.0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,9.0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,22.0,3.538310595615006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,22.0,3.538310595615006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,10.0,3.121928094887362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,10.0,3.121928094887362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,10.0,2.6464393446710153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,2.0,1.0,0.0,10.0,2.6464393446710153,1.0,10.0,2.6464393446710153,1.0,1041.0,14.0,2.502736171594004,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,16.0,3.577819531114783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,16.0,3.577819531114783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,11.0,2.9139770731827523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,11.0,2.9139770731827523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,12.0,3.4182958340544896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,12.0,3.4182958340544896,1.0,12.0,3.4182958340544896,1.0,59.0,15.0,2.7898980954642876,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,10.0,2.9219280948873623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,0.0,1.0,1.0,10.0,2.9219280948873623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,19.0,3.536886723742169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,19.0,3.536886723742169,1.0,19.0,3.536886723742169,1.0,3584.0,15.0,3.00623892865339,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,13.0,3.3927474104487847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,13.0,3.3927474104487847,1.0,13.0,3.3927474104487847,1.0,29.0,11.0,2.663532754804255,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,12.0,3.2516291673878226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,1.0,1.0,0.0,12.0,3.2516291673878226,1.0,12.0,3.2516291673878226,1.0,23.0,13.0,2.873140679513133,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,16.0,3.452819531114783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,3.0,1.0,0.0,16.0,3.452819531114783,1.0,16.0,3.452819531114783,1.0,47.0,12.0,2.4591479170272446,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,14.0,3.039148671903072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
1.0,3.0,1.0,0.0,14.0,3.039148671903072,1.0,14.0,3.039148671903072,1.0,300.0,12.0,2.6258145836939115,1.0,-0.0,41.0,0.0,0.0
1.0,0.0,1.0,0.0,15.0,3.640223928941851,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,8.0,3.0
